goos: darwin
goarch: amd64
pkg: github.com/christianrpetrin/stack
BenchmarkMicroserviceTestValueStack/10000-4      	    1000	   1693497 ns/op	 1205120 B/op	   70024 allocs/op
BenchmarkMicroserviceTestValueStack/10000-4      	    1000	   1696861 ns/op	 1205120 B/op	   70024 allocs/op
BenchmarkMicroserviceTestValueStack/10000-4      	    1000	   1714218 ns/op	 1205120 B/op	   70024 allocs/op
BenchmarkMicroserviceTestValueStack/10000-4      	    1000	   1724518 ns/op	 1205120 B/op	   70024 allocs/op
BenchmarkMicroserviceTestValueStack/10000-4      	    1000	   1710259 ns/op	 1205120 B/op	   70024 allocs/op
BenchmarkMicroserviceTestValueStack/10000-4      	    1000	   1750090 ns/op	 1205120 B/op	   70024 allocs/op
BenchmarkMicroserviceTestValueStack/100000-4     	     100	  18566229 ns/op	12010240 B/op	  700200 allocs/op
BenchmarkMicroserviceTestValueStack/100000-4     	     100	  18574613 ns/op	12010240 B/op	  700200 allocs/op
BenchmarkMicroserviceTestValueStack/100000-4     	     100	  18975796 ns/op	12010240 B/op	  700200 allocs/op
BenchmarkMicroserviceTestValueStack/100000-4     	     100	  18763323 ns/op	12010240 B/op	  700200 allocs/op
BenchmarkMicroserviceTestValueStack/100000-4     	     100	  18685597 ns/op	12010240 B/op	  700200 allocs/op
BenchmarkMicroserviceTestValueStack/100000-4     	     100	  18659485 ns/op	12010240 B/op	  700200 allocs/op
BenchmarkMicroserviceTestValueStack/100000-4     	     100	  18700990 ns/op	12010240 B/op	  700200 allocs/op
BenchmarkMicroserviceTestValueStack/100000-4     	     100	  18573601 ns/op	12010240 B/op	  700200 allocs/op
BenchmarkMicroserviceTestValueStack/100000-4     	     100	  18910575 ns/op	12010240 B/op	  700200 allocs/op
BenchmarkMicroserviceTestValueStack/100000-4     	     100	  18722950 ns/op	12010240 B/op	  700200 allocs/op
BenchmarkMicroserviceTestValueStack/1000000-4    	       5	 203621323 ns/op	120053200 B/op	 7001958 allocs/op
BenchmarkMicroserviceTestValueStack/1000000-4    	       5	 212064651 ns/op	120053200 B/op	 7001958 allocs/op
